1010101010000000000	稻谷	9%
1010101020000000000	小麦	9%
1010101030000000000	玉米	9%
1010101040000000000	谷子	9%
1010101050000000000	高粱	9%
1010101060000000000	大麦	9%
1010101070000000000	燕麦	9%
1010101080000000000	黑麦	9%
1010101090000000000	荞麦	9%
1010101990000000000	其他谷物	9%
1010102010000000000	马铃薯	9%
1010102020000000000	木薯	9%
1010102030000000000	甘薯	9%
1010102990000000000	其他薯类	9%
1010103010000000000	花生	9%
1010103020000000000	油菜籽	9%
1010103030000000000	芝麻	9%
1010103990000000000	其他油料	9%
1010104010000000000	大豆	9%
1010104020000000000	绿豆	9%
1010104990000000000	其他杂豆	9%
1010105000000000000	棉花	9%
1010106000000000000	生麻	9%
1010107010000000000	甘蔗	9%
1010107020000000000	甜菜	9%
1010107990000000000	其他糖料	9%
1010108010000000000	未去梗烤烟叶	9%
1010108990000000000	其他未加工烟草	9%
1010109010000000000	饲料牧草	9%
1010109990000000000	其他饲料作物	9%
1010110000000000000	水生植物类	9%
1010111010000000000	作物茎、秆、根	9%
1010111990000000000	其他农作物副产品	9%
1010112010000000000	萝卜等根菜类蔬菜	9%
1010112020000000000	山药等薯芋类蔬菜	9%
1010112030000000000	葱蒜类蔬菜	9%
1010112040000000000	白菜类蔬菜	9%
1010112050000000000	芥菜类蔬菜	9%
1010112060000000000	甘蓝类蔬菜	9%
1010112070000000000	芹菜等叶菜类蔬菜	9%
1010112080000000000	瓜类蔬菜	9%
1010112090000000000	番茄等茄果类蔬菜	9%
1010112100000000000	菜豆等豆类蔬菜	9%
1010112110000000000	莲藕等水生蔬菜	9%
1010112120000000000	竹笋等多年生及杂类蔬菜	9%
1010112130000000000	香菇等食用菌	9%
1010112140000000000	绿豆芽等芽苗菜	13%、9%
1010112150000000000	其他蔬菜	9%
1010113010000000000	盆栽花	9%
1010113020000000000	鲜切花及花蕾	9%
1010113030000000000	切叶	9%
1010113040000000000	切枝	9%
1010113050000000000	干燥花	9%
1010114010100000000	盆栽观叶植物	9%
